County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Delaware	Aldan Borough	2/12/2023	4244	4152	2.21579961	Unknown	Unknown			
Delaware	Aston Township	2/12/2023	16791	16592	1.19937319	Unknown	Unknown			
Delaware	Bethel Township	2/12/2023	9574	8791	8.90683654	Unknown	Unknown			
Delaware	Brookhaven Borough	2/12/2023	8300	8006	3.67224582	Unknown	Unknown			
Delaware	Chadds Ford Township	2/12/2023	3972	3640	9.12087912	Unknown	Unknown			
Delaware	Chester City	2/12/2023	32605	33972	-4.023902	Unknown	Unknown			
Delaware	Chester Township	2/12/2023	4080	3940	3.55329949	Unknown	Unknown			
Delaware	Chester Heights Borough	2/12/2023	2897	2531	14.4606875	Unknown	Unknown			
Delaware	Clifton Heights Borough	2/12/2023	6863	6652	3.17197835	Unknown	Unknown			
Delaware	Collingdale Borough	2/12/2023	8908	8786	1.38857273	Unknown	Unknown			
Delaware	Colwyn Borough	2/12/2023	2474	2546	-2.8279654	Unknown	Unknown			
Delaware	Concord Township	2/12/2023	18295	17231	6.1749173	Unknown	Unknown			
Delaware	Darby Borough	2/12/2023	10715	10687	0.26200056	Unknown	Unknown			
Delaware	Darby Township	2/12/2023	9219	9264	-0.4857513	Unknown	Unknown			
Delaware	East Lansdowne Borough	2/12/2023	2714	2668	1.72413793	Unknown	Unknown			
Delaware	Eddystone Borough	2/12/2023	2459	2410	2.03319502	Unknown	Unknown			
Delaware	Edgmont Township	2/12/2023	4283	3987	7.42412842	Unknown	Unknown			
Delaware	Folcroft Borough	2/12/2023	6792	6606	2.81562216	Unknown	Unknown			
Delaware	Glenolden Borough	2/12/2023	7223	7153	0.97861037	Unknown	Unknown			
Delaware	Haverford Township	2/12/2023	50431	48491	4.00074241	Unknown	Unknown			
Delaware	Lansdowne Borough	2/12/2023	11107	10620	4.58568738	Unknown	Unknown			
Delaware	Lower Chichester Township	2/12/2023	3425	3469	-1.2683771	Unknown	Unknown			
Delaware	Marcus Hook Borough	2/12/2023	2454	2397	2.37797247	Unknown	Unknown			
Delaware	Marple Township	2/12/2023	24214	23428	3.35495988	Unknown	Unknown			
Delaware	Media Borough	2/12/2023	5901	5327	10.7752957	Unknown	Unknown			
Delaware	Middletown Township	2/12/2023	16373	15807	3.5806921	Unknown	Unknown			
Delaware	Millbourne Borough	2/12/2023	1212	1159	4.57290768	Unknown	Unknown			
Delaware	Morton Borough	2/12/2023	2778	2669	4.08392656	Unknown	Unknown			
Delaware	Nether Providence Township	2/12/2023	14525	13706	5.97548519	Unknown	Unknown			
Delaware	Newtown Township	2/12/2023	15002	12216	22.8061559	Unknown	Unknown			
Delaware	Norwood Borough	2/12/2023	5943	5890	0.89983022	Unknown	Unknown			
Delaware	Parkside Borough	2/12/2023	2321	2328	-0.3006873	Unknown	Unknown			
Delaware	Prospect Park Borough	2/12/2023	6427	6454	-0.4183452	Unknown	Unknown			
Delaware	Radnor Township	2/12/2023	33228	31531	5.38200501	Unknown	Unknown			
Delaware	Ridley Township	2/12/2023	31053	30768	0.92628705	Unknown	Unknown			
Delaware	Ridley Park Borough	2/12/2023	7186	7002	2.62782062	Unknown	Unknown			
Delaware	Rose Valley Borough	2/12/2023	1017	913	11.3910186	Unknown	Unknown			
Delaware	Rutledge Borough	2/12/2023	782	784	-0.255102	Unknown	Unknown			
Delaware	Sharon Hill Borough	2/12/2023	6014	5697	5.5643321	Unknown	Unknown			
Delaware	Springfield Township	2/12/2023	25070	24211	3.54797406	Unknown	Unknown			
Delaware	Swarthmore Borough	2/12/2023	6543	6194	5.63448499	Unknown	Unknown			
Delaware	Thornbury Township	2/12/2023	6904	8028	-14.000997	Unknown	Unknown			
Delaware	Tinicum Township	2/12/2023	3983	4091	-2.6399413	Unknown	Unknown			
Delaware	Trainer Borough	2/12/2023	1976	1828	8.09628009	Unknown	Unknown			
Delaware	Upland Borough	2/12/2023	3068	3239	-5.2794072	Unknown	Unknown			
Delaware	Upper Chichester Township	2/12/2023	16898	16738	0.95590871	Unknown	Unknown			
Delaware	Upper Darby Township	2/12/2023	85681	82795	3.48571774	Unknown	Unknown			
Delaware	Upper Providence Township	2/12/2023	10852	10142	7.0005916	Unknown	Unknown			
Delaware	Yeadon Borough	2/12/2023	12054	11443	5.33950887	Unknown	Unknown			
Allegheny	Aleppo Township	2/12/2023	1825	1916	-4.7494781	Unknown	Unknown			
Allegheny	Aspinwall Borough	2/12/2023	2916	2801	4.10567654	Unknown	Unknown			
Allegheny	Avalon Borough	2/12/2023	4762	4705	1.21147715	Unknown	Unknown			
Allegheny	Baldwin Borough	2/12/2023	21510	19767	8.81772651	Unknown	Unknown			
Allegheny	Baldwin Township	2/12/2023	1985	1992	-0.3514056	Unknown	Unknown			
Allegheny	Bell Acres Borough	2/12/2023	1505	1388	8.42939481	Unknown	Unknown			
Allegheny	Bellevue Borough	2/12/2023	8311	8370	-0.7048984	Unknown	Unknown			
Allegheny	Ben Avon Borough	2/12/2023	1918	1781	7.69230769	Unknown	Unknown			
Allegheny	Ben Avon Heights Borough	2/12/2023	400	371	7.81671159	Unknown	Unknown			
Allegheny	Bethel Park municipality	2/12/2023	33577	32313	3.91173831	Unknown	Unknown			
Allegheny	Blawnox Borough	2/12/2023	1454	1432	1.53631285	Unknown	Unknown			
Allegheny	Brackenridge Borough	2/12/2023	3240	3260	-0.6134969	Unknown	Unknown			
Allegheny	Braddock Borough	2/12/2023	1721	2159	-20.28717	Unknown	Unknown			
Allegheny	Braddock Hills Borough	2/12/2023	1730	1880	-7.9787234	Unknown	Unknown			
Allegheny	Bradford Woods Borough	2/12/2023	1183	1171	1.02476516	Unknown	Unknown			
Allegheny	Brentwood Borough	2/12/2023	10082	9643	4.55252515	Unknown	Unknown			
Allegheny	Bridgeville Borough	2/12/2023	4804	5148	-6.6822067	Unknown	Unknown			
Allegheny	Carnegie Borough	2/12/2023	8134	7972	2.03211239	Unknown	Unknown			
Allegheny	Castle Shannon Borough	2/12/2023	8249	8316	-0.8056758	Unknown	Unknown			
Allegheny	Chalfant Borough	2/12/2023	748	800	-6.5	Unknown	Unknown			
Allegheny	Cheswick Borough	2/12/2023	1672	1746	-4.2382589	Unknown	Unknown			
Allegheny	Churchill Borough	2/12/2023	3157	3011	4.84888741	Unknown	Unknown			
Allegheny	Clairton City	2/12/2023	6181	6796	-9.0494408	Unknown	Unknown			
Allegheny	Collier Township	2/12/2023	8935	7080	26.200565	Unknown	Unknown			
Allegheny	Coraopolis Borough	2/12/2023	5559	5677	-2.0785626	Unknown	Unknown			
Allegheny	Crafton Borough	2/12/2023	6099	5951	2.48697698	Unknown	Unknown			
Allegheny	Crescent Township	2/12/2023	2488	2640	-5.7575758	Unknown	Unknown			
Allegheny	Dormont Borough	2/12/2023	8244	8593	-4.0614454	Unknown	Unknown			
Allegheny	Dravosburg Borough	2/12/2023	1612	1792	-10.044643	Unknown	Unknown			
Allegheny	Duquesne City	2/12/2023	5254	5565	-5.5884996	Unknown	Unknown			
Allegheny	East Deer Township	2/12/2023	1490	1500	-0.6666667	Unknown	Unknown			
Allegheny	East McKeesport Borough	2/12/2023	2076	2126	-2.3518344	Unknown	Unknown			
